"Figure 6: Unemployment rates have levelled off over the last year, following a period of decreasing rates",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, between January to March 1971 and March to May 2020",""
"",""
"Notes",""
"Unit","Percentage of economically active"
"",""
"Period","People","Men","Women"
"Jun-Aug 1988","8.500","8.700","8.200"
"Jul-Sep 1988","8.400","8.500","8.100"
"Aug-Oct 1988","8.300","8.400","8.000"
"Sep-Nov 1988","8.200","8.300","7.900"
"Oct-Dec 1988","8.000","8.200","7.800"
"Nov-Jan 1989","7.900","8.000","7.700"
"Dec-Feb 1989","7.700","7.800","7.500"
"Jan-Mar 1989","7.600","7.700","7.400"
"Feb-Apr 1989","7.400","7.500","7.300"
"Mar-May 1989","7.300","7.400","7.200"
"Apr-Jun 1989","7.200","7.300","7.100"
"May-Jul 1989","7.200","7.300","7.000"
"Jun-Aug 1989","7.100","7.300","7.000"
"Jul-Sep 1989","7.100","7.200","6.900"
"Aug-Oct 1989","7.100","7.200","6.900"
"Sep-Nov 1989","7.000","7.100","6.900"
"Oct-Dec 1989","7.000","7.100","6.800"
"Nov-Jan 1990","7.000","7.100","6.800"
"Dec-Feb 1990","6.900","7.100","6.700"
"Jan-Mar 1990","6.900","7.100","6.700"
"Feb-Apr 1990","6.900","7.100","6.700"
"Mar-May 1990","6.900","7.100","6.700"
"Apr-Jun 1990","6.900","7.100","6.700"
"May-Jul 1990","6.900","7.100","6.700"
"Jun-Aug 1990","7.000","7.200","6.700"
"Jul-Sep 1990","7.100","7.400","6.700"
"Aug-Oct 1990","7.200","7.500","6.800"
"Sep-Nov 1990","7.300","7.700","6.800"
"Oct-Dec 1990","7.500","7.900","6.900"
"Nov-Jan 1991","7.600","8.100","7.000"
"Dec-Feb 1991","7.800","8.300","7.100"
"Jan-Mar 1991","8.000","8.600","7.200"
"Feb-Apr 1991","8.200","9.000","7.300"
"Mar-May 1991","8.500","9.300","7.400"
"Apr-Jun 1991","8.700","9.600","7.500"
"May-Jul 1991","8.800","9.800","7.500"
"Jun-Aug 1991","9.000","10.100","7.600"
"Jul-Sep 1991","9.200","10.300","7.600"
"Aug-Oct 1991","9.300","10.500","7.600"
"Sep-Nov 1991","9.400","10.700","7.600"
"Oct-Dec 1991","9.500","10.900","7.600"
"Nov-Jan 1992","9.500","11.000","7.600"
"Dec-Feb 1992","9.600","11.200","7.600"
"Jan-Mar 1992","9.700","11.300","7.600"
"Feb-Apr 1992","9.800","11.500","7.600"
"Mar-May 1992","9.833","11.606","7.555"
"Apr-Jun 1992","9.785","11.514","7.566"
"May-Jul 1992","9.888","11.628","7.653"
"Jun-Aug 1992","9.937","11.712","7.660"
"Jul-Sep 1992","9.937","11.762","7.600"
"Aug-Oct 1992","10.069","11.962","7.645"
"Sep-Nov 1992","10.241","12.201","7.741"
"Oct-Dec 1992","10.371","12.361","7.837"
"Nov-Jan 1993","10.546","12.532","8.015"
"Dec-Feb 1993","10.684","12.677","8.144"
"Jan-Mar 1993","10.618","12.684","7.985"
"Feb-Apr 1993","10.580","12.649","7.954"
"Mar-May 1993","10.454","12.484","7.885"
"Apr-Jun 1993","10.385","12.273","7.998"
"May-Jul 1993","10.372","12.282","7.961"
"Jun-Aug 1993","10.311","12.171","7.966"
"Jul-Sep 1993","10.247","12.185","7.805"
"Aug-Oct 1993","10.251","12.063","7.973"
"Sep-Nov 1993","10.230","12.047","7.943"
"Oct-Dec 1993","10.252","12.089","7.940"
"Nov-Jan 1994","10.251","12.116","7.901"
"Dec-Feb 1994","10.087","11.808","7.920"
"Jan-Mar 1994","9.946","11.651","7.804"
"Feb-Apr 1994","9.813","11.515","7.674"
"Mar-May 1994","9.749","11.495","7.554"
"Apr-Jun 1994","9.706","11.508","7.444"
"May-Jul 1994","9.586","11.384","7.327"
"Jun-Aug 1994","9.540","11.311","7.310"
"Jul-Sep 1994","9.360","11.010","7.284"
"Aug-Oct 1994","9.258","10.858","7.241"
"Sep-Nov 1994","9.079","10.664","7.081"
"Oct-Dec 1994","8.964","10.523","6.998"
"Nov-Jan 1995","8.893","10.430","6.956"
"Dec-Feb 1995","8.872","10.381","6.978"
"Jan-Mar 1995","8.866","10.330","7.031"
"Feb-Apr 1995","8.831","10.215","7.102"
"Mar-May 1995","8.767","10.153","7.030"
"Apr-Jun 1995","8.664","10.094","6.874"
"May-Jul 1995","8.669","10.079","6.906"
"Jun-Aug 1995","8.624","10.032","6.870"
"Jul-Sep 1995","8.648","10.043","6.910"
"Aug-Oct 1995","8.611","10.067","6.801"
"Sep-Nov 1995","8.552","9.905","6.872"
"Oct-Dec 1995","8.304","9.641","6.646"
"Nov-Jan 1996","8.379","9.863","6.542"
"Dec-Feb 1996","8.317","9.844","6.426"
"Jan-Mar 1996","8.234","9.820","6.265"
"Feb-Apr 1996","8.295","9.816","6.406"
"Mar-May 1996","8.280","9.726","6.488"
"Apr-Jun 1996","8.255","9.692","6.476"
"May-Jul 1996","8.173","9.556","6.458"
"Jun-Aug 1996","8.061","9.414","6.386"
"Jul-Sep 1996","8.061","9.405","6.400"
"Aug-Oct 1996","8.052","9.397","6.392"
"Sep-Nov 1996","7.955","9.187","6.435"
"Oct-Dec 1996","7.842","8.949","6.483"
"Nov-Jan 1997","7.670","8.705","6.400"
"Dec-Feb 1997","7.490","8.492","6.261"
"Jan-Mar 1997","7.323","8.276","6.154"
"Feb-Apr 1997","7.205","8.086","6.125"
"Mar-May 1997","7.185","8.186","5.959"
"Apr-Jun 1997","7.180","8.069","6.093"
"May-Jul 1997","7.290","8.216","6.159"
"Jun-Aug 1997","7.088","7.913","6.077"
"Jul-Sep 1997","6.840","7.651","5.849"
"Aug-Oct 1997","6.695","7.477","5.738"
"Sep-Nov 1997","6.618","7.390","5.674"
"Oct-Dec 1997","6.541","7.300","5.612"
"Nov-Jan 1998","6.401","7.075","5.575"
"Dec-Feb 1998","6.377","7.008","5.607"
"Jan-Mar 1998","6.365","7.043","5.537"
"Feb-Apr 1998","6.311","6.991","5.484"
"Mar-May 1998","6.270","6.892","5.513"
"Apr-Jun 1998","6.284","6.876","5.563"
"May-Jul 1998","6.301","6.902","5.569"
"Jun-Aug 1998","6.312","6.948","5.538"
"Jul-Sep 1998","6.240","6.970","5.353"
"Aug-Oct 1998","6.217","6.972","5.303"
"Sep-Nov 1998","6.158","6.894","5.266"
"Oct-Dec 1998","6.143","6.867","5.267"
"Nov-Jan 1999","6.218","6.988","5.287"
"Dec-Feb 1999","6.227","6.959","5.341"
"Jan-Mar 1999","6.176","6.861","5.347"
"Feb-Apr 1999","6.154","6.835","5.332"
"Mar-May 1999","6.109","6.794","5.280"
"Apr-Jun 1999","6.045","6.711","5.239"
"May-Jul 1999","5.975","6.581","5.240"
"Jun-Aug 1999","5.904","6.483","5.203"
"Jul-Sep 1999","5.886","6.486","5.162"
"Aug-Oct 1999","5.838","6.349","5.221"
"Sep-Nov 1999","5.846","6.389","5.191"
"Oct-Dec 1999","5.806","6.332","5.173"
"Nov-Jan 2000","5.866","6.411","5.210"
"Dec-Feb 2000","5.811","6.294","5.230"
"Jan-Mar 2000","5.793","6.234","5.263"
"Feb-Apr 2000","5.695","6.165","5.129"
"Mar-May 2000","5.639","6.150","5.023"
"Apr-Jun 2000","5.501","6.044","4.848"
"May-Jul 2000","5.335","5.782","4.801"
"Jun-Aug 2000","5.255","5.726","4.693"
"Jul-Sep 2000","5.319","5.756","4.797"
"Aug-Oct 2000","5.399","5.824","4.889"
"Sep-Nov 2000","5.299","5.790","4.711"
"Oct-Dec 2000","5.227","5.757","4.592"
"Nov-Jan 2001","5.163","5.688","4.533"
"Dec-Feb 2001","5.204","5.800","4.489"
"Jan-Mar 2001","5.090","5.605","4.469"
"Feb-Apr 2001","5.010","5.486","4.439"
"Mar-May 2001","4.911","5.356","4.377"
"Apr-Jun 2001","5.031","5.543","4.419"
"May-Jul 2001","5.046","5.602","4.381"
"Jun-Aug 2001","5.078","5.645","4.396"
"Jul-Sep 2001","5.093","5.642","4.434"
"Aug-Oct 2001","5.090","5.668","4.398"
"Sep-Nov 2001","5.106","5.647","4.460"
"Oct-Dec 2001","5.183","5.721","4.538"
"Nov-Jan 2002","5.184","5.736","4.523"
"Dec-Feb 2002","5.148","5.720","4.464"
"Jan-Mar 2002","5.169","5.784","4.436"
"Feb-Apr 2002","5.182","5.771","4.481"
"Mar-May 2002","5.241","5.779","4.601"
"Apr-Jun 2002","5.159","5.706","4.510"
"May-Jul 2002","5.187","5.748","4.519"
"Jun-Aug 2002","5.219","5.755","4.582"
"Jul-Sep 2002","5.308","5.913","4.589"
"Aug-Oct 2002","5.227","5.746","4.609"
"Sep-Nov 2002","5.176","5.673","4.583"
"Oct-Dec 2002","5.116","5.540","4.610"
"Nov-Jan 2003","5.008","5.432","4.502"
"Dec-Feb 2003","5.128","5.709","4.434"
"Jan-Mar 2003","5.167","5.772","4.444"
"Feb-Apr 2003","5.116","5.695","4.424"
"Mar-May 2003","5.005","5.593","4.300"
"Apr-Jun 2003","4.940","5.474","4.299"
"May-Jul 2003","5.064","5.586","4.438"
"Jun-Aug 2003","5.058","5.566","4.450"
"Jul-Sep 2003","5.049","5.524","4.481"
"Aug-Oct 2003","4.950","5.475","4.325"
