,fx,quarter,year
763,1.88,4,1981
764,1.85,1,1982
765,1.78,2,1982
766,1.72,3,1982
767,1.65,4,1982
768,1.53,1,1983
769,1.55,2,1983
770,1.51,3,1983
771,1.47,4,1983
772,1.44,1,1984
773,1.4,2,1984
774,1.3,3,1984
775,1.21,4,1984
776,1.12,1,1985
777,1.26,2,1985
778,1.38,3,1985
779,1.44,4,1985
780,1.44,1,1986
781,1.51,2,1986
782,1.49,3,1986
783,1.43,4,1986
784,1.54,1,1987
785,1.64,2,1987
786,1.62,3,1987
787,1.76,4,1987
788,1.8,1,1988
789,1.84,2,1988
790,1.7,3,1988
791,1.79,4,1988
792,1.75,1,1989
793,1.63,2,1989
794,1.6,3,1989
795,1.59,4,1989
796,1.66,1,1990
797,1.67,2,1990
798,1.86,3,1990
799,1.94,4,1990
800,1.91,1,1991
801,1.71,2,1991
802,1.69,3,1991
803,1.78,4,1991
804,1.77,1,1992
805,1.81,2,1992
806,1.9,3,1992
807,1.58,4,1992
808,1.48,1,1993
809,1.53,2,1993
810,1.5,3,1993
811,1.49,4,1993
812,1.49,1,1994
813,1.5,2,1994
814,1.55,3,1994
815,1.58,4,1994
816,1.58,1,1995
817,1.6,2,1995
818,1.57,3,1995
819,1.56,4,1995
820,1.53,1,1996
821,1.52,2,1996
822,1.55,3,1996
823,1.64,4,1996
824,1.63,1,1997
825,1.64,2,1997
826,1.62,3,1997
827,1.66,4,1997
828,1.65,1,1998
829,1.65,2,1998
830,1.65,3,1998
831,1.68,4,1998
832,1.63,1,1999
833,1.61,2,1999
834,1.6,3,1999
835,1.63,4,1999
836,1.61,1,2000
837,1.53,2,2000
838,1.48,3,2000
839,1.45,4,2000
840,1.46,1,2001
841,1.42,2,2001
842,1.44,3,2001
843,1.44,4,2001
844,1.43,1,2002
845,1.46,2,2002
846,1.55,3,2002
847,1.57,4,2002
848,1.6,1,2003
849,1.62,2,2003
850,1.61,3,2003
851,1.71,4,2003
852,1.84,1,2004
853,1.81,2,2004
854,1.82,3,2004
855,1.87,4,2004
856,1.89,1,2005
857,1.86,2,2005
858,1.78,3,2005
859,1.75,4,2005
860,1.75,1,2006
861,1.83,2,2006
862,1.87,3,2006
863,1.92,4,2006
864,1.95,1,2007
865,1.99,2,2007
866,2.02,3,2007
867,2.04,4,2007
868,1.98,1,2008
869,1.97,2,2008
870,1.89,3,2008
871,1.57,4,2008
872,1.43,1,2009
873,1.55,2,2009
874,1.64,3,2009
875,1.63,4,2009
876,1.56,1,2010
877,1.49,2,2010
878,1.55,3,2010
879,1.58,4,2010
880,1.6,1,2011
881,1.63,2,2011
882,1.61,3,2011
883,1.57,4,2011
884,1.57,1,2012
885,1.58,2,2012
886,1.58,3,2012
887,1.61,4,2012
888,1.55,1,2013
889,1.54,2,2013
890,1.55,3,2013
891,1.62,4,2013
892,1.66,1,2014
893,1.68,2,2014
894,1.67,3,2014
895,1.58,4,2014
896,1.51,1,2015
897,1.53,2,2015
898,1.55,3,2015
899,1.52,4,2015
900,1.43,1,2016
901,1.43,2,2016
902,1.31,3,2016
903,1.24,4,2016
